Local Size,Global Size,Performance (Giga)
32,1024,0.003304
32,263168,0.681938
32,525312,1.105152
32,787456,1.496169
32,1049600,1.684043
32,1311744,1.864505
32,1573888,2.043103
32,1836032,2.116976
32,2098176,3.177336
32,2360320,3.212308
32,2622464,3.248559
32,2884608,3.192085
32,3146752,3.201387
32,3408896,3.293470
32,3671040,3.236569
32,3933184,3.307898
32,4195328,3.240927
32,4457472,3.361413
32,4719616,3.259381
32,4981760,3.275256
32,5243904,3.273943
32,5506048,3.247946
32,5768192,3.297547
32,6030336,3.264342
32,6292480,3.279704
32,6554624,3.268137
32,6816768,3.277954
32,7078912,3.273379
32,7341056,3.292848
32,7603200,3.294099
32,7865344,3.286519
32,8127488,3.301415
32,8389632,3.287818
32,8651776,3.006544
32,8913920,3.304215
32,9176064,2.857601
32,9438208,2.902723
32,9700352,2.884860
32,9962496,3.293503
32,10224640,2.998562
32,10486784,3.329302
32,10748928,3.067175
32,11011072,3.294006
32,11273216,3.036750
32,11535360,3.301485
32,11797504,3.054263
32,12059648,3.283772
32,12321792,3.064021
32,12583936,3.322926
32,12846080,3.063694
32,13108224,3.292978
32,13370368,3.075333
32,13632512,3.299812
32,13894656,3.066916
32,14156800,3.292621
32,14418944,3.080465
32,14681088,3.314292
32,14943232,3.083563
32,15205376,3.299646
32,15467520,3.091537
32,15729664,3.299309
32,15991808,3.092347
32,16253952,3.284180
32,16516096,3.114483
32,16778240,3.096221
32,17040384,3.107181
32,17302528,3.168409
32,17564672,2.980132
32,17826816,3.133576
32,18088960,3.061041
32,18351104,3.141056
32,18613248,3.152278
32,18875392,3.152450
32,19137536,3.140990
32,19399680,3.140449
32,19661824,3.139062
32,19923968,3.158115
32,20186112,3.149400
64,1024,0.003333
64,263168,0.737083
64,525312,1.295228
64,787456,1.722416
64,1049600,2.027942
64,1311744,2.414765
64,1573888,2.620928
64,1836032,2.872081
64,2098176,2.985894
64,2360320,3.214035
64,2622464,3.331408
64,2884608,3.370838
64,3146752,3.581920
64,3408896,3.593869
64,3671040,3.611860
64,3933184,3.815587
64,4195328,5.314727
64,4457472,5.320157
64,4719616,5.331984
64,4981760,5.343803
64,5243904,5.348537
64,5506048,5.360145
64,5768192,5.364373
64,6030336,5.366934
64,6292480,5.381665
64,6554624,5.382676
64,6816768,5.387531
64,7078912,5.392586
64,7341056,5.401143
64,7603200,5.408705
64,7865344,5.400564
64,8127488,5.410786
64,8389632,5.413975
64,8651776,5.413389
64,8913920,5.417110
64,9176064,5.416515
64,9438208,5.416605
64,9700352,5.420862
64,9962496,5.423118
64,10224640,5.432628
64,10486784,5.430786
64,10748928,5.434504
64,11011072,5.431685
64,11273216,5.439410
64,11535360,5.436840
64,11797504,5.434890
64,12059648,5.437209
64,12321792,5.443555
64,12583936,5.445439
64,12846080,5.445889
64,13108224,5.447592
64,13370368,5.448451
64,13632512,5.451407
64,13894656,5.448105
64,14156800,5.450340
64,14418944,5.450037
64,14681088,5.449998
64,14943232,5.451932
64,15205376,5.454251
64,15467520,5.455810
64,15729664,5.460995
64,15991808,5.457243
64,16253952,5.463748
64,16516096,5.462174
64,16778240,5.465487
64,17040384,4.987746
64,17302528,5.468605
64,17564672,5.013056
64,17826816,5.463202
64,18088960,5.020813
64,18351104,5.467508
64,18613248,5.028380
64,18875392,5.468955
64,19137536,5.038595
64,19399680,5.471113
64,19661824,5.063233
64,19923968,5.472553
64,20186112,5.061872
96,525312,1.265650
96,1311744,2.313914
96,2098176,2.917821
96,2884608,3.276727
96,3671040,3.551366
96,4457472,3.733091
96,5243904,3.868784
96,6030336,4.031475
96,6816768,4.992006
96,7603200,5.001441
96,8389632,5.010809
96,9176064,5.019276
96,9962496,5.019980
96,10748928,5.032232
96,11535360,5.032034
96,12321792,5.036953
96,13108224,5.042678
96,13894656,5.047256
96,14681088,5.056664
96,15467520,5.054912
96,16253952,5.055750
96,17040384,5.057279
96,17826816,5.058236
96,18613248,5.047170
96,19399680,5.060771
96,20186112,5.061471
128,1024,0.003321
128,263168,0.756587
128,525312,1.253504
128,787456,1.699271
128,1049600,2.014247
128,1311744,2.356950
128,1573888,2.577334
128,1836032,2.714269
128,2098176,2.960089
128,2360320,3.070687
128,2622464,3.203237
128,2884608,3.340727
128,3146752,2.569879
128,3408896,3.113184
128,3671040,3.603683
128,3933184,3.615910
128,4195328,3.717048
128,4457472,3.722980
128,4719616,3.800141
128,4981760,3.865392
128,5243904,3.912418
128,5506048,3.992164
128,5768192,3.474218
128,6030336,4.066476
128,6292480,4.085944
128,6554624,4.103956
128,6816768,4.140501
128,7078912,4.185800
128,7341056,4.222380
128,7603200,4.233009
128,7865344,4.260890
128,8127488,4.268984
128,8389632,5.053791
128,8651776,5.062858
128,8913920,5.065968
128,9176064,5.067233
128,9438208,5.070209
128,9700352,5.072923
128,9962496,5.076180
128,10224640,5.077343
128,10486784,5.077662
128,10748928,5.077873
128,11011072,5.081683
128,11273216,5.083351
128,11535360,5.085629
128,11797504,5.086854
128,12059648,5.087588
128,12321792,5.090049
128,12583936,5.089630
128,12846080,5.096176
128,13108224,5.090614
128,13370368,5.094366
128,13632512,5.092002
128,13894656,5.096198
128,14156800,5.097196
128,14418944,5.092660
128,14681088,5.098924
128,14943232,5.102385
128,15205376,5.102312
128,15467520,5.103931
128,15729664,5.105491
128,15991808,5.105278
128,16253952,5.106353
128,16516096,5.106904
128,16778240,5.107797
128,17040384,5.103384
128,17302528,4.904117
128,17564672,5.106631
128,17826816,5.103812
128,18088960,5.106079
128,18351104,5.106276
128,18613248,5.108627
128,18875392,5.111484
128,19137536,5.106766
128,19399680,5.111849
128,19661824,5.108019
128,19923968,5.109273
128,20186112,5.113778
160,1049600,0.753025
160,2360320,1.636257
160,3671040,2.624076
160,4981760,3.278608
160,6292480,4.410365
160,7603200,5.211291
160,8913920,6.015367
160,10224640,7.230723
160,11535360,10.227869
160,12846080,11.451829
160,14156800,11.182040
160,15467520,13.748125
160,16778240,15.045900
160,18088960,16.111444
160,19399680,17.223095
192,525312,1.239993
192,1311744,2.172909
192,2098176,2.713163
192,2884608,2.999856
192,3671040,2.447955
192,4457472,3.385218
192,5243904,3.537454
192,6030336,3.626360
192,6816768,3.697218
192,7603200,3.782816
192,8389632,3.827162
192,9176064,3.873660
192,9962496,3.906895
192,10748928,3.953373
192,11535360,3.993794
192,12321792,4.012316
192,13108224,4.445081
192,13894656,4.450825
192,14681088,4.448146
192,15467520,4.448908
192,16253952,4.451997
192,17040384,4.454178
192,17826816,4.453485
192,18613248,4.456293
192,19399680,4.459081
192,20186112,4.460397
224,1311744,1.684749
224,3146752,3.131932
224,4981760,3.534630
224,6816768,3.756584
224,8651776,3.920513
224,10486784,4.012523
224,12321792,4.087916
224,14156800,4.142009
224,15991808,4.549040
224,17826816,4.553542
224,19661824,4.553150
256,1024,0.003320
256,263168,0.723780
256,525312,1.243266
256,787456,1.633672
256,1049600,1.959250
256,1311744,2.227190
256,1573888,2.371031
256,1836032,2.588050
256,2098176,2.752840
256,2360320,2.878352
256,2622464,2.957465
256,2884608,3.041985
256,3146752,3.167030
256,3408896,3.149209
256,3671040,3.299799
256,3933184,3.331064
256,4195328,3.354631
256,4457472,3.460786
256,4719616,3.509843
256,4981760,3.542522
256,5243904,3.610273
256,5506048,3.646310
256,5768192,3.683656
256,6030336,3.685272
256,6292480,3.717051
256,6554624,3.720344
256,6816768,3.792462
256,7078912,3.805418
256,7341056,3.824034
256,7603200,3.867949
256,7865344,3.880267
256,8127488,3.892285
256,8389632,3.921327
256,8651776,3.943235
256,8913920,3.945717
256,9176064,3.972788
256,9438208,3.975024
256,9700352,3.983174
256,9962496,3.994460
256,10224640,4.018282
256,10486784,3.996291
256,10748928,4.054041
256,11011072,4.039346
256,11273216,4.038700
256,11535360,4.082737
256,11797504,4.077782
256,12059648,4.095825
256,12321792,4.096577
256,12583936,4.118448
256,12846080,4.115497
256,13108224,4.122497
256,13370368,4.142643
256,13632512,4.136656
256,13894656,4.161390
256,14156800,4.149469
256,14418944,4.157086
256,14681088,4.168555
256,14943232,4.175235
256,15205376,4.192768
256,15467520,4.190827
256,15729664,4.196601
256,15991808,4.201306
256,16253952,4.221484
256,16516096,4.220825
256,16778240,4.559147
256,17040384,4.553206
256,17302528,4.561953
256,17564672,4.563532
256,17826816,4.562528
256,18088960,4.558974
256,18351104,4.560474
256,18613248,4.561647
256,18875392,4.561717
256,19137536,4.567292
256,19399680,4.565665
256,19661824,4.565634
256,19923968,4.561905
256,20186112,4.562110
